Image,Image area,Number of edges,Length of bounded box,Width of bounded box,Area of bounded box,Difference of area,Percentage filled area,Compactness factor,Complexity Level,Design family,DBSCAN_Labels
128,102867.5,7,337,452,152324,49456.5,32.46796302618103,72.14792831654782,2,3,3
129,122518.0,7,338,452,152776,30258.0,19.805466827250356,85.40673059593855,2,2,4
130,131174.0,5,338,452,152776,21602.0,14.13965544326334,90.03113563622311,1,2,1
131,119329.5,8,338,452,152776,33446.5,21.89250929465361,85.9181466210694,2,2,38
132,127334.0,7,337,452,152324,24990.0,16.405819174916626,82.94183994594007,1,0,4
133,107350.0,6,338,452,152776,45426.0,29.73372781065089,75.49204276136996,2,1,2
134,106543.5,7,338,452,152776,46232.5,30.261624862543854,70.30425759472013,2,1,3
135,122602.0,5,338,453,153114,30512.0,19.92763561790561,79.28688722942714,2,2,19
136,122851.5,6,338,453,153114,30262.5,19.764685136564918,78.97891322604096,2,2,10
137,106840.5,6,338,453,153114,46273.5,30.22159959246052,75.52754000494907,2,1,2
138,118952.5,6,338,452,152776,33823.5,22.139275802482064,79.95663061428255,2,1,10
139,99751.0,8,337,452,152324,52573.0,34.513930831648324,71.30717536339064,0,3,5
140,149564.0,4,338,452,152776,3212.0,2.102424464575588,94.49512079110087,1,4,16
141,133062.0,5,338,452,152776,19714.0,12.90385924490758,87.68474166408973,1,0,1
142,111616.5,6,337,452,152324,40707.5,26.72428507654736,75.50548108477439,2,3,-1
143,130978.5,7,338,452,152776,21797.5,14.26762056867571,83.96204892802508,1,0,4
144,74618.0,9,338,452,152776,78158.0,51.15855893595853,47.10484724519679,0,5,39
145,151348.5,4,338,453,153114,1765.5,1.1530624240761784,96.5505961730223,1,4,16
146,149489.5,4,338,452,152776,3286.5,2.151188668377232,95.06323797601132,1,4,16
147,114561.5,11,338,452,152776,38214.5,25.013418337958843,72.24606028202862,2,1,23
148,137337.0,5,337,453,152661,15324.0,10.037927171969264,90.2485240195154,1,4,1
149,133496.5,7,338,452,152776,19279.5,12.61945593548725,84.14256777374811,1,0,4
150,111976.0,8,338,452,152776,40800.0,26.7057653034508,82.89256440912142,2,1,6
151,122602.0,5,338,453,153114,30512.0,19.92763561790561,79.28688722942714,2,2,19
152,126133.0,4,338,452,152776,26643.0,17.439257474996072,83.83525774049993,1,0,29
153,110290.0,4,338,452,152776,42486.0,27.80934178143164,76.77246191763132,2,1,20
154,122602.0,5,338,453,153114,30512.0,19.92763561790561,79.28688722942714,2,2,19
155,145867.5,5,338,453,153114,7246.5,4.732748148438418,94.34393101184736,1,4,1
156,146948.0,4,338,452,152776,5828.0,3.8147352987380216,94.10104391120628,1,4,16
157,122851.5,6,338,453,153114,30262.5,19.764685136564918,78.97891322604096,2,2,10
158,130978.5,7,338,452,152776,21797.5,14.26762056867571,83.96204892802508,1,0,4
159,139479.5,5,338,452,152776,13296.5,8.70326491071896,91.59196371022756,1,4,1
160,119329.5,8,338,452,152776,33446.5,21.89250929465361,85.9181466210694,2,2,38
161,97957.5,5,337,452,152324,54366.5,35.6913552690318,70.88591055887821,0,3,37
162,148808.0,4,338,452,152776,3968.0,2.597266586374823,94.66512303884448,1,4,16
163,107566.5,8,337,452,152324,44757.5,29.383091305375387,73.4715793388593,2,3,26
164,139479.5,5,338,452,152776,13296.5,8.70326491071896,91.59196371022756,1,4,1
165,107720.0,6,338,452,152776,45056.0,29.49154317432057,79.20079055429977,2,1,-1
166,139570.5,6,338,452,152776,13205.5,8.643700581243127,88.65081911865245,1,0,40
167,122851.5,6,338,453,153114,30262.5,19.764685136564918,78.97891322604096,2,2,10
168,130978.5,7,338,452,152776,21797.5,14.26762056867571,83.96204892802508,1,0,4
169,76014.5,3,337,452,152324,76309.5,50.09683306635855,54.90036911018557,0,5,12
170,135780.0,7,338,453,153114,17334.0,11.32097652729339,86.28688756285962,1,0,4
171,108069.0,5,337,452,152324,44255.0,29.053202384391163,75.84496865880092,2,3,41
172,112515.5,10,337,452,152324,39808.5,26.134095743284053,75.35474352831602,2,3,13
173,107720.0,6,338,452,152776,45056.0,29.49154317432057,79.20079055429977,2,1,-1
174,150234.5,6,338,452,152776,2541.5,1.6635466303607898,97.59044646838294,1,0,15
175,126133.0,4,338,452,152776,26643.0,17.439257474996072,83.83525774049993,1,0,29
176,107350.0,6,338,452,152776,45426.0,29.73372781065089,75.49204276136996,2,1,2
177,120954.5,5,337,452,152324,31369.5,20.59393135684462,81.33018289754796,2,0,19
178,108069.0,5,337,452,152324,44255.0,29.053202384391163,75.84496865880092,2,3,41
179,99751.0,8,337,452,152324,52573.0,34.513930831648324,71.30717536339064,0,3,5
180,100068.0,9,338,452,152776,52708.0,34.50018327485992,68.25192654215468,0,1,42
181,151500.5,4,338,453,153114,1613.5,1.0537899865459723,96.64756237688896,1,4,16
182,114131.5,5,338,452,152776,38644.5,25.29487615855894,79.30377255468858,2,1,14
183,107953.5,6,338,452,152776,44822.5,29.33870503220401,69.48144117184621,2,1,9
184,99751.0,8,337,452,152324,52573.0,34.513930831648324,71.30717536339064,0,3,5
185,107953.5,6,338,452,152776,44822.5,29.33870503220401,69.48144117184621,2,1,9
186,111372.0,8,338,452,152776,41404.0,27.101115358433265,82.27317714620733,2,1,6
187,100068.0,9,338,452,152776,52708.0,34.50018327485992,68.25192654215468,0,1,42
188,115232.0,6,337,452,152324,37092.0,24.350726083873848,78.73571346188557,2,0,10
189,99751.0,8,337,452,152324,52573.0,34.513930831648324,71.30717536339064,0,3,5
190,107953.5,6,338,452,152776,44822.5,29.33870503220401,69.48144117184621,2,1,9
191,123434.0,4,337,452,152324,28890.0,18.96615109897324,83.20762718334522,2,0,29
192,135697.5,7,338,453,153114,17416.5,11.374857948979193,86.33087263715902,1,0,4
193,131174.0,5,338,452,152776,21602.0,14.13965544326334,90.03113563622311,1,2,1
194,108358.0,7,337,452,152324,43966.0,28.86347522386492,79.92857229511831,2,3,11
195,91149.0,6,337,452,152324,61175.0,40.16110396260603,70.37952538532834,0,3,25
196,122518.0,7,338,452,152776,30258.0,19.805466827250356,85.40673059593855,2,2,4
197,99088.5,6,338,452,152776,53687.5,35.14131800806409,69.13260116117613,0,1,21
198,148035.0,4,338,453,153114,5079.0,3.3171362514205107,94.56351042859114,1,4,16
199,122851.5,6,338,453,153114,30262.5,19.764685136564918,78.97891322604096,2,2,10
200,147237.0,5,338,453,153114,5877.0,3.838316548454093,94.92707334836304,1,4,1
201,135676.0,7,338,453,153114,17438.0,11.388899774024583,86.50509429337457,1,0,4
202,110290.0,4,338,452,152776,42486.0,27.80934178143164,76.77246191763132,2,1,20
203,128018.5,7,337,452,152324,24305.5,15.95644809747643,84.96846662036573,1,0,4
204,124368.5,9,337,452,152324,27955.5,18.35265618024737,82.27180492357601,2,0,24
205,112515.5,10,337,452,152324,39808.5,26.134095743284053,75.35474352831602,2,3,13
206,110290.0,4,338,452,152776,42486.0,27.80934178143164,76.77246191763132,2,1,20
207,71113.5,8,338,452,152776,81662.5,53.45244017384929,44.573009613548365,0,5,32
208,150708.0,4,338,453,153114,2406.0,1.5713781888005016,95.44699792590664,1,4,16
209,131935.0,7,338,452,152776,20841.0,13.64154055610829,83.00819646291959,1,0,4
210,149489.5,4,338,452,152776,3286.5,2.151188668377232,95.06323797601132,1,4,16
211,134658.5,4,338,452,152776,18117.5,11.858865266795831,88.09550605220167,1,2,27
212,107409.0,6,338,452,152776,45367.0,29.695109179452277,70.29814357522305,2,1,9
213,126584.5,7,338,452,152776,26191.5,17.143726763365976,89.47749341489352,1,2,31
214,84082.5,7,338,452,152776,68693.5,44.96354139393622,60.372343083735146,0,3,30
215,107566.5,8,337,452,152324,44757.5,29.383091305375387,73.4715793388593,2,3,26
216,137337.0,5,337,453,152661,15324.0,10.037927171969264,90.2485240195154,1,4,1
217,119329.5,8,338,452,152776,33446.5,21.89250929465361,85.9181466210694,2,2,38
218,103886.0,7,338,452,152776,48890.0,32.00109964915956,73.96580703532956,2,1,3
219,114561.5,11,338,452,152776,38214.5,25.013418337958843,72.24606028202862,2,1,23
220,129387.5,4,337,452,152324,22936.5,15.057705942596044,85.97639794419511,1,0,27
221,133719.0,6,338,452,152776,19057.0,12.47381787715348,85.12190791801946,1,0,0
222,115232.0,6,337,452,152324,37092.0,24.350726083873848,78.73571346188557,2,0,10
223,135780.0,7,338,453,153114,17334.0,11.32097652729339,86.28688756285962,1,0,4
224,90646.0,9,338,452,152776,62130.0,40.667382311357805,59.04749547938558,0,3,7
225,129387.5,4,337,452,152324,22936.5,15.057705942596044,85.97639794419511,1,0,27
226,127209.0,7,338,452,152776,25567.0,16.734958370424675,83.40368691941512,1,0,4
227,149030.5,4,338,453,153114,4083.5,2.666967096411824,94.89203841101175,1,4,16
228,128805.5,5,338,452,152776,23970.5,15.68996439231293,86.4118437067804,1,2,1
229,128805.5,5,338,452,152776,23970.5,15.68996439231293,86.4118437067804,1,2,1
230,114561.5,11,338,452,152776,38214.5,25.013418337958843,72.24606028202862,2,1,23
231,149843.5,6,338,454,153452,3608.5,2.351549670255194,97.95467062866588,1,4,15
232,132590.0,5,338,452,152776,20186.0,13.212808294496517,88.511945515875,1,2,1
233,140398.5,4,338,452,152776,12377.5,8.101730638320156,90.96821595292155,1,4,16
234,104465.0,8,338,452,152776,48311.0,31.62211342095617,70.98392944433286,2,1,5
235,128018.5,7,337,452,152324,24305.5,15.95644809747643,84.96846662036573,1,0,4
236,144354.5,4,338,452,152776,8421.5,5.512318688799287,93.13297165938448,1,4,16
237,129910.5,5,338,452,152776,22865.5,14.966683248677803,86.23236025006362,1,2,1
238,98451.0,6,338,452,152776,54325.0,35.55859559093052,68.31807585889365,0,1,21
239,95823.0,7,338,452,152776,56953.0,37.2787610619469,70.6274254848515,0,1,3
240,108358.0,7,337,452,152324,43966.0,28.86347522386492,79.92857229511831,2,3,11
241,131174.0,5,338,452,152776,21602.0,14.13965544326334,90.03113563622311,1,2,1
242,131174.0,5,338,452,152776,21602.0,14.13965544326334,90.03113563622311,1,2,1
243,107350.0,6,338,452,152776,45426.0,29.73372781065089,75.49204276136996,2,1,2
244,149173.0,4,338,452,152776,3603.0,2.3583547154003246,95.14803938246128,1,4,16
245,102867.5,7,337,452,152324,49456.5,32.46796302618103,72.14792831654782,2,3,3
246,118952.5,6,338,452,152776,33823.5,22.139275802482064,79.95663061428255,2,1,10
247,128805.5,5,338,452,152776,23970.5,15.68996439231293,86.4118437067804,1,2,1
248,81086.5,6,338,452,152776,71689.5,46.9245823951406,51.408534719425305,0,5,43
249,145210.5,4,338,453,153114,7903.5,5.161840197499902,93.21268053051772,1,4,16
250,100068.0,9,338,452,152776,52708.0,34.50018327485992,68.25192654215468,0,1,42
251,106631.5,9,337,452,152324,45692.5,29.996914471783832,72.4866168744297,2,3,22
252,146624.5,4,338,452,152776,6151.5,4.026483217259255,93.788338705501,1,4,16
253,81582.0,9,338,452,152776,71194.0,46.60025134837933,55.53853749928784,0,3,44
254,110290.0,4,338,452,152776,42486.0,27.80934178143164,76.77246191763132,2,1,20
255,107409.0,6,338,452,152776,45367.0,29.695109179452277,70.29814357522305,2,1,9
256,132590.0,5,338,452,152776,20186.0,13.212808294496517,88.511945515875,1,2,1
257,119329.5,8,338,452,152776,33446.5,21.89250929465361,85.9181466210694,2,2,38
258,75978.5,3,337,452,152324,76345.5,50.12046689950369,55.03335680490013,0,5,12
259,149843.5,6,338,454,153452,3608.5,2.351549670255194,97.95467062866588,1,4,15
260,149564.0,4,338,452,152776,3212.0,2.102424464575588,94.49512079110087,1,4,16
261,81086.5,6,338,452,152776,71689.5,46.9245823951406,51.408534719425305,0,5,43
262,120380.5,5,337,452,152324,31943.5,20.970759696436545,81.69768031077992,2,0,19
263,108358.0,7,337,452,152324,43966.0,28.86347522386492,79.92857229511831,2,3,11
264,102062.5,6,338,452,152776,50713.5,33.1946771744253,66.48864366254892,2,1,21
265,145867.5,5,338,453,153114,7246.5,4.732748148438418,94.34393101184736,1,4,1
266,122602.0,5,338,453,153114,30512.0,19.92763561790561,79.28688722942714,2,2,19
267,107953.5,6,338,452,152776,44822.5,29.33870503220401,69.48144117184621,2,1,9
268,119329.5,8,338,452,152776,33446.5,21.89250929465361,85.9181466210694,2,2,38
269,112515.5,10,337,452,152324,39808.5,26.134095743284053,75.35474352831602,2,3,13
270,106840.5,6,338,453,153114,46273.5,30.22159959246052,75.52754000494907,2,1,2
271,133719.0,6,338,452,152776,19057.0,12.47381787715348,85.12190791801946,1,0,0
272,106840.5,6,338,453,153114,46273.5,30.22159959246052,75.52754000494907,2,1,2
273,103886.0,7,338,452,152776,48890.0,32.00109964915956,73.96580703532956,2,1,3
274,145683.5,4,338,452,152776,7092.5,4.642417657223648,93.39640099228974,1,4,16
275,148328.5,4,338,452,152776,4447.5,2.9111247839974865,94.47424651149788,1,4,16
276,93482.5,7,337,452,152324,58841.5,38.62917202804548,65.24817831284099,0,3,35
277,129387.5,4,337,452,152324,22936.5,15.057705942596044,85.97639794419511,1,0,27
278,135676.0,7,338,453,153114,17438.0,11.388899774024583,86.50509429337457,1,0,4
279,133719.0,6,338,452,152776,19057.0,12.47381787715348,85.12190791801946,1,0,0
